Fecha,ID_Cliente,ID_Producto,Cantidad,Precio,Region,Nombre_Producto,Categoria,Tipo_Cliente,Monto_Total
30-04-2024,C001,P002,7,500,Centro,Mouse,Accesorios,Retail,3500
23-07-2024,C005,P001,2,200,Sur,Laptop,Computo,Mayorista,400
15-12-2024,C001,P001,4,50,Sur,Laptop,Computo,Retail,200
26-06-2024,C002,P005,9,200,Este,Audifonos,Audio,Corporativo,1800
3-12-2024,C003,P001,7,150,Este,Laptop,Computo,Online,1050
26-03-2024,C003,P002,9,50,Sur,Mouse,Accesorios,Online,450
13-08-2024,C002,P001,5,150,Sur,Laptop,Computo,Corporativo,750
7-07-2024,C005,P001,13,100,Centro,Laptop,Computo,Mayorista,1300
14-07-2024,C001,P003,17,150,Este,Teclado,Accesorios,Retail,2550
11-01-2024,C001,P004,6,50,Centro,Monitor,Computo,Retail,300
15-02-2024,C005,P004,15,300,Norte,Monitor,Computo,Mayorista,4500
19-01-2024,C002,P002,16,50,Norte,Mouse,Accesorios,Corporativo,800
30-06-2024,C002,P003,1,100,Este,Teclado,Accesorios,Corporativo,100
25-12-2024,C005,P005,2,50,Este,Audifonos,Audio,Mayorista,100
9-06-2024,C003,P003,16,100,Este,Teclado,Accesorios,Online,1600
19-10-2024,C001,P005,16,300,Centro,Audifonos,Audio,Retail,4800
22-05-2024,C005,P005,9,200,Sur,Audifonos,Audio,Mayorista,1800
26-10-2024,C003,P001,12,100,Centro,Laptop,Computo,Online,1200
25-05-2024,C003,P005,15,50,Centro,Audifonos,Audio,Online,750
12-07-2024,C005,P002,7,150,Sur,Mouse,Accesorios,Mayorista,1050
15-10-2024,C004,P004,4,100,Oeste,Monitor,Computo,Distribuidor,400
7-05-2024,C004,P004,17,50,Este,Monitor,Computo,Distribuidor,850
6-01-2024,C003,P004,7,50,Sur,Monitor,Computo,Online,350
4-02-2024,C005,P002,7,100,Este,Mouse,Accesorios,Mayorista,700
31-12-2024,C004,P001,15,500,Centro,Laptop,Computo,Distribuidor,7500
8-12-2024,C001,P002,4,50,Centro,Mouse,Accesorios,Retail,200
1-01-2024,C003,P003,12,50,Oeste,Teclado,Accesorios,Online,600
12-11-2024,C005,P001,8,150,Oeste,Laptop,Computo,Mayorista,1200
7-03-2024,C002,P003,11,500,Oeste,Teclado,Accesorios,Corporativo,5500
12-08-2024,C002,P003,1,150,Sur,Teclado,Accesorios,Corporativo,150
20-07-2024,C005,P002,6,100,Norte,Mouse,Accesorios,Mayorista,600
27-04-2024,C002,P001,19,300,Centro,Laptop,Computo,Corporativo,5700
11-10-2024,C004,P001,11,500,Centro,Laptop,Computo,Distribuidor,5500
10-03-2024,C001,P003,13,100,Oeste,Teclado,Accesorios,Retail,1300
3-04-2024,C001,P003,4,50,Este,Teclado,Accesorios,Retail,200
12-08-2024,C005,P003,7,300,Este,Teclado,Accesorios,Mayorista,2100
31-08-2024,C004,P003,4,300,Norte,Teclado,Accesorios,Distribuidor,1200
24-10-2024,C005,P002,16,150,Este,Mouse,Accesorios,Mayorista,2400
15-07-2024,C005,P003,1,200,Sur,Teclado,Accesorios,Mayorista,200
31-07-2024,C004,P005,19,150,Oeste,Audifonos,Audio,Distribuidor,2850
27-09-2024,C003,P001,13,500,Oeste,Laptop,Computo,Online,6500
11-09-2024,C004,P001,16,150,Oeste,Laptop,Computo,Distribuidor,2400
15-01-2024,C004,P005,18,200,Sur,Audifonos,Audio,Distribuidor,3600
11-09-2024,C002,P004,9,200,Este,Monitor,Computo,Corporativo,1800
20-03-2024,C004,P004,14,500,Norte,Monitor,Computo,Distribuidor,7000
17-11-2024,C004,P005,1,50,Oeste,Audifonos,Audio,Distribuidor,50
17-01-2024,C005,P003,5,50,Norte,Teclado,Accesorios,Mayorista,250
30-03-2024,C002,P004,12,300,Sur,Monitor,Computo,Corporativo,3600
16-11-2024,C005,P003,1,100,Centro,Teclado,Accesorios,Mayorista,100
21-04-2024,C001,P002,2,50,Norte,Mouse,Accesorios,Retail,100
23-04-2024,C004,P004,2,300,Centro,Monitor,Computo,Distribuidor,600
22-07-2024,C003,P003,15,200,Oeste,Teclado,Accesorios,Online,3000
24-12-2024,C004,P001,18,500,Norte,Laptop,Computo,Distribuidor,9000
13-10-2024,C004,P004,18,100,Norte,Monitor,Computo,Distribuidor,1800
1-07-2024,C003,P003,7,150,Sur,Teclado,Accesorios,Online,1050
24-09-2024,C005,P001,11,300,Sur,Laptop,Computo,Mayorista,3300
27-08-2024,C001,P002,18,300,Norte,Mouse,Accesorios,Retail,5400
10-11-2024,C003,P004,6,100,Sur,Monitor,Computo,Online,600
10-01-2024,C002,P003,6,500,Este,Teclado,Accesorios,Corporativo,3000
24-03-2024,C003,P001,12,150,Sur,Laptop,Computo,Online,1800
24-01-2024,C003,P001,1,50,Oeste,Laptop,Computo,Online,50
22-03-2024,C002,P001,15,150,Sur,Laptop,Computo,Corporativo,2250
8-12-2024,C005,P004,6,50,Norte,Monitor,Computo,Mayorista,300
23-12-2024,C001,P005,4,200,Norte,Audifonos,Audio,Retail,800
4-03-2024,C002,P002,4,300,Centro,Mouse,Accesorios,Corporativo,1200
25-06-2024,C001,P003,3,150,Centro,Teclado,Accesorios,Retail,450
7-02-2024,C005,P004,3,50,Oeste,Monitor,Computo,Mayorista,150
19-03-2024,C002,P001,9,300,Oeste,Laptop,Computo,Corporativo,2700
1-01-2024,C004,P004,3,150,Norte,Monitor,Computo,Distribuidor,450
20-06-2024,C005,P005,11,100,Este,Audifonos,Audio,Mayorista,1100
3-09-2024,C002,P001,19,300,Centro,Laptop,Computo,Corporativo,5700
28-12-2024,C004,P005,9,500,Este,Audifonos,Audio,Distribuidor,4500
6-10-2024,C003,P005,18,150,Sur,Audifonos,Audio,Online,2700
25-08-2024,C005,P001,16,150,Este,Laptop,Computo,Mayorista,2400
1-01-2024,C003,P005,9,500,Centro,Audifonos,Audio,Online,4500
18-01-2024,C005,P004,14,300,Oeste,Monitor,Computo,Mayorista,4200
16-07-2024,C002,P003,16,200,Oeste,Teclado,Accesorios,Corporativo,3200
16-11-2024,C002,P001,12,300,Centro,Laptop,Computo,Corporativo,3600
30-06-2024,C005,P003,17,100,Este,Teclado,Accesorios,Mayorista,1700
18-09-2024,C001,P002,13,500,Centro,Mouse,Accesorios,Retail,6500
18-05-2024,C005,P003,10,200,Oeste,Teclado,Accesorios,Mayorista,2000
1-06-2024,C004,P005,7,300,Norte,Audifonos,Audio,Distribuidor,2100
28-05-2024,C004,P005,1,200,Norte,Audifonos,Audio,Distribuidor,200
25-06-2024,C003,P004,6,150,Norte,Monitor,Computo,Online,900
29-07-2024,C001,P002,2,500,Sur,Mouse,Accesorios,Retail,1000
18-12-2024,C003,P003,3,150,Sur,Teclado,Accesorios,Online,450
11-03-2024,C005,P003,3,200,Sur,Teclado,Accesorios,Mayorista,600
15-05-2024,C004,P001,13,50,Sur,Laptop,Computo,Distribuidor,650
24-06-2024,C002,P001,6,300,Sur,Laptop,Computo,Corporativo,1800
27-04-2024,C003,P005,7,150,Sur,Audifonos,Audio,Online,1050
1-05-2024,C004,P003,15,500,Oeste,Teclado,Accesorios,Distribuidor,7500
4-11-2024,C004,P001,7,300,Centro,Laptop,Computo,Distribuidor,2100
23-01-2024,C005,P005,11,300,Oeste,Audifonos,Audio,Mayorista,3300
12-01-2024,C002,P002,20,50,Norte,Mouse,Accesorios,Corporativo,1000
8-08-2024,C001,P001,8,100,Norte,Laptop,Computo,Retail,800
29-02-2024,C003,P004,10,150,Este,Monitor,Computo,Online,1500
3-11-2024,C005,P002,7,150,Este,Mouse,Accesorios,Mayorista,1050
3-02-2024,C002,P005,6,200,Centro,Audifonos,Audio,Corporativo,1200
12-03-2024,C001,P001,3,50,Oeste,Laptop,Computo,Retail,150
5-10-2024,C003,P002,10,150,Centro,Mouse,Accesorios,Online,1500
2-10-2024,C003,P004,10,150,Oeste,Monitor,Computo,Online,1500
2-09-2024,C005,P002,1,150,Sur,Mouse,Accesorios,Mayorista,150
16-02-2024,C004,P005,3,300,Sur,Audifonos,Audio,Distribuidor,900
12-05-2024,C002,P001,1,500,Sur,Laptop,Computo,Corporativo,500
12-01-2024,C003,P001,12,200,Norte,Laptop,Computo,Online,2400
19-01-2024,C003,P005,13,500,Sur,Audifonos,Audio,Online,6500
19-03-2024,C004,P002,13,200,Este,Mouse,Accesorios,Distribuidor,2600
20-11-2024,C003,P003,14,150,Sur,Teclado,Accesorios,Online,2100
13-07-2024,C004,P001,17,50,Este,Laptop,Computo,Distribuidor,850
14-01-2024,C002,P001,6,150,Centro,Laptop,Computo,Corporativo,900
15-09-2024,C004,P005,14,150,Este,Audifonos,Audio,Distribuidor,2100
21-02-2024,C002,P003,15,50,Este,Teclado,Accesorios,Corporativo,750
11-11-2024,C003,P005,16,500,Este,Audifonos,Audio,Online,8000
11-06-2024,C003,P004,11,50,Oeste,Monitor,Computo,Online,550
1-04-2024,C004,P002,8,300,Sur,Mouse,Accesorios,Distribuidor,2400
1-10-2024,C005,P005,16,500,Este,Audifonos,Audio,Mayorista,8000
4-09-2024,C005,P004,14,500,Sur,Monitor,Computo,Mayorista,7000
6-12-2024,C001,P005,12,100,Sur,Audifonos,Audio,Retail,1200
24-02-2024,C003,P002,5,150,Sur,Mouse,Accesorios,Online,750
1-01-2024,C002,P001,16,300,Norte,Laptop,Computo,Corporativo,4800
28-08-2024,C002,P005,16,200,Norte,Audifonos,Audio,Corporativo,3200
23-05-2024,C002,P002,13,500,Sur,Mouse,Accesorios,Corporativo,6500
22-11-2024,C004,P005,11,200,Centro,Audifonos,Audio,Distribuidor,2200
11-03-2024,C005,P004,7,200,Este,Monitor,Computo,Mayorista,1400
7-06-2024,C005,P002,17,100,Sur,Mouse,Accesorios,Mayorista,1700
20-11-2024,C004,P005,4,50,Este,Audifonos,Audio,Distribuidor,200
28-07-2024,C005,P002,16,300,Este,Mouse,Accesorios,Mayorista,4800
8-01-2024,C004,P004,8,50,Oeste,Monitor,Computo,Distribuidor,400
28-07-2024,C002,P001,15,300,Centro,Laptop,Computo,Corporativo,4500
24-06-2024,C004,P005,19,300,Oeste,Audifonos,Audio,Distribuidor,5700
4-07-2024,C002,P002,2,300,Centro,Mouse,Accesorios,Corporativo,600
28-10-2024,C004,P004,2,200,Oeste,Monitor,Computo,Distribuidor,400
9-03-2024,C003,P003,6,100,Este,Teclado,Accesorios,Online,600
24-11-2024,C003,P002,18,300,Norte,Mouse,Accesorios,Online,5400
1-01-2024,C001,P003,10,100,Oeste,Teclado,Accesorios,Retail,1000
6-02-2024,C005,P005,10,100,Sur,Audifonos,Audio,Mayorista,1000
24-12-2024,C002,P005,6,500,Norte,Audifonos,Audio,Corporativo,3000
1-09-2024,C004,P001,18,300,Norte,Laptop,Computo,Distribuidor,5400
20-09-2024,C003,P004,14,50,Sur,Monitor,Computo,Online,700
10-09-2024,C004,P005,9,50,Centro,Audifonos,Audio,Distribuidor,450
18-09-2024,C001,P002,11,500,Este,Mouse,Accesorios,Retail,5500
10-01-2024,C002,P003,15,150,Oeste,Teclado,Accesorios,Corporativo,2250
18-11-2024,C001,P001,6,200,Sur,Laptop,Computo,Retail,1200
20-06-2024,C002,P002,7,150,Oeste,Mouse,Accesorios,Corporativo,1050
19-11-2024,C004,P005,5,200,Norte,Audifonos,Audio,Distribuidor,1000
27-11-2024,C003,P005,2,100,Sur,Audifonos,Audio,Online,200
25-09-2024,C001,P002,20,50,Este,Mouse,Accesorios,Retail,1000
1-05-2024,C003,P005,13,50,Sur,Audifonos,Audio,Online,650
13-02-2024,C003,P002,5,200,Norte,Mouse,Accesorios,Online,1000
27-01-2024,C002,P004,19,300,Oeste,Monitor,Computo,Corporativo,5700
21-05-2024,C002,P001,9,50,Sur,Laptop,Computo,Corporativo,450
27-12-2024,C001,P001,20,200,Este,Laptop,Computo,Retail,4000
2-01-2024,C002,P002,13,50,Norte,Mouse,Accesorios,Corporativo,650
11-08-2024,C005,P004,6,150,Oeste,Monitor,Computo,Mayorista,900
14-12-2024,C002,P001,5,500,Oeste,Laptop,Computo,Corporativo,2500
25-06-2024,C001,P004,5,500,Norte,Monitor,Computo,Retail,2500
25-12-2024,C002,P001,14,100,Centro,Laptop,Computo,Corporativo,1400
17-10-2024,C001,P002,16,500,Norte,Mouse,Accesorios,Retail,8000
27-01-2024,C004,P002,7,150,Sur,Mouse,Accesorios,Distribuidor,1050
1-11-2024,C005,P004,3,200,Norte,Monitor,Computo,Mayorista,600
15-04-2024,C001,P002,1,150,Centro,Mouse,Accesorios,Retail,150
27-07-2024,C003,P005,1,200,Este,Audifonos,Audio,Online,200
25-05-2024,C005,P005,20,100,Centro,Audifonos,Audio,Mayorista,2000
16-10-2024,C002,P002,13,200,Este,Mouse,Accesorios,Corporativo,2600
30-09-2024,C004,P002,9,500,Sur,Mouse,Accesorios,Distribuidor,4500
24-06-2024,C003,P003,6,100,Oeste,Teclado,Accesorios,Online,600
10-05-2024,C005,P002,16,100,Este,Mouse,Accesorios,Mayorista,1600
11-02-2024,C002,P003,14,50,Norte,Teclado,Accesorios,Corporativo,700
13-02-2024,C003,P005,3,300,Norte,Audifonos,Audio,Online,900
29-05-2024,C004,P001,11,300,Sur,Laptop,Computo,Distribuidor,3300
3-01-2024,C003,P005,8,50,Este,Audifonos,Audio,Online,400
17-05-2024,C004,P004,10,300,Este,Monitor,Computo,Distribuidor,3000
12-10-2024,C001,P003,20,200,Oeste,Teclado,Accesorios,Retail,4000
8-07-2024,C001,P004,4,50,Norte,Monitor,Computo,Retail,200
28-07-2024,C003,P001,18,500,Centro,Laptop,Computo,Online,9000
19-02-2024,C002,P003,12,300,Oeste,Teclado,Accesorios,Corporativo,3600
30-11-2024,C005,P002,14,200,Norte,Mouse,Accesorios,Mayorista,2800
25-12-2024,C002,P003,1,100,Norte,Teclado,Accesorios,Corporativo,100
9-06-2024,C004,P004,18,300,Norte,Monitor,Computo,Distribuidor,5400
28-06-2024,C004,P005,10,100,Oeste,Audifonos,Audio,Distribuidor,1000
27-06-2024,C001,P001,15,300,Sur,Laptop,Computo,Retail,4500
28-04-2024,C003,P005,12,150,Sur,Audifonos,Audio,Online,1800
1-08-2024,C001,P004,15,500,Centro,Monitor,Computo,Retail,7500
22-03-2024,C001,P002,20,500,Sur,Mouse,Accesorios,Retail,10000
18-07-2024,C004,P002,13,200,Este,Mouse,Accesorios,Distribuidor,2600
25-02-2024,C001,P004,14,500,Centro,Monitor,Computo,Retail,7000
27-10-2024,C002,P001,20,100,Oeste,Laptop,Computo,Corporativo,2000
21-02-2024,C004,P001,4,150,Norte,Laptop,Computo,Distribuidor,600
9-01-2024,C003,P004,3,50,Este,Monitor,Computo,Online,150
13-01-2024,C004,P001,8,50,Sur,Laptop,Computo,Distribuidor,400
13-12-2024,C001,P004,11,50,Sur,Monitor,Computo,Retail,550
2-06-2024,C001,P004,1,150,Norte,Monitor,Computo,Retail,150
25-05-2024,C005,P003,18,100,Oeste,Teclado,Accesorios,Mayorista,1800
3-07-2024,C004,P005,15,200,Centro,Audifonos,Audio,Distribuidor,3000
3-08-2024,C005,P004,12,100,Oeste,Monitor,Computo,Mayorista,1200
22-09-2024,C002,P005,19,150,Norte,Audifonos,Audio,Corporativo,2850
25-03-2024,C002,P005,1,200,Oeste,Audifonos,Audio,Corporativo,200
6-03-2024,C004,P004,11,300,Centro,Monitor,Computo,Distribuidor,3300
21-02-2024,C003,P002,7,50,Norte,Mouse,Accesorios,Online,350
12-07-2024,C003,P001,1,500,Centro,Laptop,Computo,Online,500
13-02-2024,C002,P005,13,300,Norte,Audifonos,Audio,Corporativo,3900
4-06-2024,C001,P005,15,100,Oeste,Audifonos,Audio,Retail,1500
31-08-2024,C002,P003,17,100,Norte,Teclado,Accesorios,Corporativo,1700
25-01-2024,C003,P004,5,50,Este,Monitor,Computo,Online,250
9-02-2024,C005,P002,8,500,Oeste,Mouse,Accesorios,Mayorista,4000
12-03-2024,C003,P004,9,50,Centro,Monitor,Computo,Online,450
27-10-2024,C004,P002,9,50,Este,Mouse,Accesorios,Distribuidor,450
24-06-2024,C002,P005,10,50,Centro,Audifonos,Audio,Corporativo,500
9-09-2024,C005,P004,6,150,Este,Monitor,Computo,Mayorista,900
9-01-2024,C002,P005,5,100,Sur,Audifonos,Audio,Corporativo,500
15-07-2024,C004,P002,18,200,Oeste,Mouse,Accesorios,Distribuidor,3600
28-10-2024,C001,P001,8,100,Norte,Laptop,Computo,Retail,800
20-07-2024,C001,P003,4,100,Sur,Teclado,Accesorios,Retail,400
6-02-2024,C001,P005,9,500,Este,Audifonos,Audio,Retail,4500
24-01-2024,C005,P001,2,300,Sur,Laptop,Computo,Mayorista,600
30-11-2024,C001,P001,6,500,Oeste,Laptop,Computo,Retail,3000
25-09-2024,C004,P004,1,50,Este,Monitor,Computo,Distribuidor,50
29-06-2024,C005,P002,16,150,Este,Mouse,Accesorios,Mayorista,2400
12-08-2024,C003,P003,9,200,Sur,Teclado,Accesorios,Online,1800
10-12-2024,C004,P002,9,100,Norte,Mouse,Accesorios,Distribuidor,900
29-12-2024,C002,P003,15,150,Sur,Teclado,Accesorios,Corporativo,2250
26-01-2024,C003,P005,6,50,Sur,Audifonos,Audio,Online,300
11-06-2024,C002,P001,3,200,Oeste,Laptop,Computo,Corporativo,600
26-10-2024,C002,P002,10,50,Este,Mouse,Accesorios,Corporativo,500
16-07-2024,C003,P004,17,300,Sur,Monitor,Computo,Online,5100
4-06-2024,C004,P003,17,100,Oeste,Teclado,Accesorios,Distribuidor,1700
16-02-2024,C002,P005,16,200,Centro,Audifonos,Audio,Corporativo,3200
3-03-2024,C004,P003,20,100,Norte,Teclado,Accesorios,Distribuidor,2000
12-04-2024,C001,P002,10,50,Este,Mouse,Accesorios,Retail,500
12-04-2024,C002,P004,15,150,Centro,Monitor,Computo,Corporativo,2250
21-01-2024,C002,P001,9,50,Norte,Laptop,Computo,Corporativo,450
14-12-2024,C004,P003,10,100,Sur,Teclado,Accesorios,Distribuidor,1000
19-04-2024,C005,P003,11,500,Centro,Teclado,Accesorios,Mayorista,5500
15-12-2024,C001,P003,5,150,Norte,Teclado,Accesorios,Retail,750
9-06-2024,C003,P005,8,500,Este,Audifonos,Audio,Online,4000
21-01-2024,C003,P005,17,300,Centro,Audifonos,Audio,Online,5100
8-09-2024,C003,P002,19,200,Sur,Mouse,Accesorios,Online,3800
5-10-2024,C004,P002,8,300,Norte,Mouse,Accesorios,Distribuidor,2400
18-06-2024,C004,P003,20,50,Sur,Teclado,Accesorios,Distribuidor,1000
17-02-2024,C005,P005,1,150,Sur,Audifonos,Audio,Mayorista,150
26-04-2024,C005,P005,20,100,Norte,Audifonos,Audio,Mayorista,2000
24-03-2024,C004,P005,18,200,Oeste,Audifonos,Audio,Distribuidor,3600
11-03-2024,C003,P002,17,500,Norte,Mouse,Accesorios,Online,8500
6-06-2024,C004,P001,13,500,Centro,Laptop,Computo,Distribuidor,6500
31-03-2024,C001,P002,9,200,Este,Mouse,Accesorios,Retail,1800
25-03-2024,C004,P002,2,150,Centro,Mouse,Accesorios,Distribuidor,300
1-05-2024,C002,P001,9,500,Oeste,Laptop,Computo,Corporativo,4500
22-12-2024,C005,P004,3,100,Sur,Monitor,Computo,Mayorista,300
19-06-2024,C003,P001,20,300,Centro,Laptop,Computo,Online,6000
