Fecha,ID_Cliente,ID_Producto,Cantidad,Precio,Region,Nombre_Producto,Categoria,Tipo_Cliente
6-08-2024,C004,P004,12,200,Este,Monitor,Computo,Distribuidor
2-03-2024,C003,P001,13,500,Centro,Laptop,Computo,Online
27-11-2024,C003,P001,16,150,Sur,Laptop,Computo,Online
7-06-2024,C004,P004,7,50,Este,Monitor,Computo,Distribuidor
21-02-2024,C002,P004,7,100,Sur,Monitor,Computo,Corporativo
8-07-2024,C004,P002,10,500,Norte,Mouse,Accesorios,Distribuidor
16-11-2024,C002,P001,13,500,Oeste,Laptop,Computo,Corporativo
3-02-2024,C001,P003,1,500,Sur,Teclado,Accesorios,Retail
10-03-2024,C002,P004,19,150,Centro,Monitor,Computo,Corporativo
9-03-2024,C005,P004,16,50,Sur,Monitor,Computo,Mayorista
24-08-2024,C001,P003,15,150,Este,Teclado,Accesorios,Retail
13-03-2024,C002,P002,12,50,Este,Mouse,Accesorios,Corporativo
15-09-2024,C003,P003,3,200,Norte,Teclado,Accesorios,Online
10-11-2024,C001,P005,2,500,Norte,Audifonos,Audio,Retail
18-07-2024,C004,P003,10,150,Este,Teclado,Accesorios,Distribuidor
26-06-2024,C002,P004,15,500,Centro,Monitor,Computo,Corporativo
14-08-2024,C003,P005,20,500,Sur,Audifonos,Audio,Online
27-07-2024,C003,P001,14,150,Sur,Laptop,Computo,Online
18-09-2024,C002,P002,9,50,Centro,Mouse,Accesorios,Corporativo
24-03-2024,C001,P003,19,300,Centro,Teclado,Accesorios,Retail
2-05-2024,C004,P001,9,200,Este,Laptop,Computo,Distribuidor
30-04-2024,C001,P002,7,500,Centro,Mouse,Accesorios,Retail
23-07-2024,C005,P001,2,200,Sur,Laptop,Computo,Mayorista
15-12-2024,C001,P001,4,50,Sur,Laptop,Computo,Retail
26-06-2024,C002,P005,9,200,Este,Audifonos,Audio,Corporativo
3-12-2024,C003,P001,7,150,Este,Laptop,Computo,Online
26-03-2024,C003,P002,9,50,Sur,Mouse,Accesorios,Online
13-08-2024,C002,P001,5,150,Sur,Laptop,Computo,Corporativo
7-07-2024,C005,P001,13,100,Centro,Laptop,Computo,Mayorista
14-07-2024,C001,P003,17,150,Este,Teclado,Accesorios,Retail
11-01-2024,C001,P004,6,50,Centro,Monitor,Computo,Retail
15-02-2024,C005,P004,15,300,Norte,Monitor,Computo,Mayorista
19-01-2024,C002,P002,16,50,Norte,Mouse,Accesorios,Corporativo
30-06-2024,C002,P003,1,100,Este,Teclado,Accesorios,Corporativo
25-12-2024,C005,P005,2,50,Este,Audifonos,Audio,Mayorista
9-06-2024,C003,P003,16,100,Este,Teclado,Accesorios,Online
19-10-2024,C001,P005,16,300,Centro,Audifonos,Audio,Retail
22-05-2024,C005,P005,9,200,Sur,Audifonos,Audio,Mayorista
26-10-2024,C003,P001,12,100,Centro,Laptop,Computo,Online
25-05-2024,C003,P005,15,50,Centro,Audifonos,Audio,Online
12-07-2024,C005,P002,7,150,Sur,Mouse,Accesorios,Mayorista
15-10-2024,C004,P004,4,100,Oeste,Monitor,Computo,Distribuidor
7-05-2024,C004,P004,17,50,Este,Monitor,Computo,Distribuidor
6-01-2024,C003,P004,7,50,Sur,Monitor,Computo,Online
4-02-2024,C005,P002,7,100,Este,Mouse,Accesorios,Mayorista
31-12-2024,C004,P001,15,500,Centro,Laptop,Computo,Distribuidor
8-12-2024,C001,P002,4,50,Centro,Mouse,Accesorios,Retail
1-01-2024,C003,P003,12,50,Oeste,Teclado,Accesorios,Online
12-11-2024,C005,P001,8,150,Oeste,Laptop,Computo,Mayorista
7-03-2024,C002,P003,11,500,Oeste,Teclado,Accesorios,Corporativo
12-08-2024,C002,P003,1,150,Sur,Teclado,Accesorios,Corporativo
20-07-2024,C005,P002,6,100,Norte,Mouse,Accesorios,Mayorista
27-04-2024,C002,P001,19,300,Centro,Laptop,Computo,Corporativo
11-10-2024,C004,P001,11,500,Centro,Laptop,Computo,Distribuidor
10-03-2024,C001,P003,13,100,Oeste,Teclado,Accesorios,Retail
3-04-2024,C001,P003,4,50,Este,Teclado,Accesorios,Retail
12-08-2024,C005,P003,7,300,Este,Teclado,Accesorios,Mayorista
31-08-2024,C004,P003,4,300,Norte,Teclado,Accesorios,Distribuidor
24-10-2024,C005,P002,16,150,Este,Mouse,Accesorios,Mayorista
15-07-2024,C005,P003,1,200,Sur,Teclado,Accesorios,Mayorista
31-07-2024,C004,P005,19,150,Oeste,Audifonos,Audio,Distribuidor
27-09-2024,C003,P001,13,500,Oeste,Laptop,Computo,Online
11-09-2024,C004,P001,16,150,Oeste,Laptop,Computo,Distribuidor
15-01-2024,C004,P005,18,200,Sur,Audifonos,Audio,Distribuidor
11-09-2024,C002,P004,9,200,Este,Monitor,Computo,Corporativo
20-03-2024,C004,P004,14,500,Norte,Monitor,Computo,Distribuidor
17-11-2024,C004,P005,1,50,Oeste,Audifonos,Audio,Distribuidor
17-01-2024,C005,P003,5,50,Norte,Teclado,Accesorios,Mayorista
30-03-2024,C002,P004,12,300,Sur,Monitor,Computo,Corporativo
16-11-2024,C005,P003,1,100,Centro,Teclado,Accesorios,Mayorista
21-04-2024,C001,P002,2,50,Norte,Mouse,Accesorios,Retail
23-04-2024,C004,P004,2,300,Centro,Monitor,Computo,Distribuidor
22-07-2024,C003,P003,15,200,Oeste,Teclado,Accesorios,Online
24-12-2024,C004,P001,18,500,Norte,Laptop,Computo,Distribuidor
13-10-2024,C004,P004,18,100,Norte,Monitor,Computo,Distribuidor
1-07-2024,C003,P003,7,150,Sur,Teclado,Accesorios,Online
24-09-2024,C005,P001,11,300,Sur,Laptop,Computo,Mayorista
27-08-2024,C001,P002,18,300,Norte,Mouse,Accesorios,Retail
10-11-2024,C003,P004,6,100,Sur,Monitor,Computo,Online
10-01-2024,C002,P003,6,500,Este,Teclado,Accesorios,Corporativo
24-03-2024,C003,P001,12,150,Sur,Laptop,Computo,Online
24-01-2024,C003,P001,1,50,Oeste,Laptop,Computo,Online
22-03-2024,C002,P001,15,150,Sur,Laptop,Computo,Corporativo
8-12-2024,C005,P004,6,50,Norte,Monitor,Computo,Mayorista
23-12-2024,C001,P005,4,200,Norte,Audifonos,Audio,Retail
4-03-2024,C002,P002,4,300,Centro,Mouse,Accesorios,Corporativo
25-06-2024,C001,P003,3,150,Centro,Teclado,Accesorios,Retail
7-02-2024,C005,P004,3,50,Oeste,Monitor,Computo,Mayorista
19-03-2024,C002,P001,9,300,Oeste,Laptop,Computo,Corporativo
1-01-2024,C004,P004,3,150,Norte,Monitor,Computo,Distribuidor
20-06-2024,C005,P005,11,100,Este,Audifonos,Audio,Mayorista
3-09-2024,C002,P001,19,300,Centro,Laptop,Computo,Corporativo
28-12-2024,C004,P005,9,500,Este,Audifonos,Audio,Distribuidor
6-10-2024,C003,P005,18,150,Sur,Audifonos,Audio,Online
25-08-2024,C005,P001,16,150,Este,Laptop,Computo,Mayorista
1-01-2024,C003,P005,9,500,Centro,Audifonos,Audio,Online
18-01-2024,C005,P004,14,300,Oeste,Monitor,Computo,Mayorista
16-07-2024,C002,P003,16,200,Oeste,Teclado,Accesorios,Corporativo
16-11-2024,C002,P001,12,300,Centro,Laptop,Computo,Corporativo
30-06-2024,C005,P003,17,100,Este,Teclado,Accesorios,Mayorista
18-09-2024,C001,P002,13,500,Centro,Mouse,Accesorios,Retail
18-05-2024,C005,P003,10,200,Oeste,Teclado,Accesorios,Mayorista
1-06-2024,C004,P005,7,300,Norte,Audifonos,Audio,Distribuidor
28-05-2024,C004,P005,1,200,Norte,Audifonos,Audio,Distribuidor
25-06-2024,C003,P004,6,150,Norte,Monitor,Computo,Online
29-07-2024,C001,P002,2,500,Sur,Mouse,Accesorios,Retail
18-12-2024,C003,P003,3,150,Sur,Teclado,Accesorios,Online
11-03-2024,C005,P003,3,200,Sur,Teclado,Accesorios,Mayorista
15-05-2024,C004,P001,13,50,Sur,Laptop,Computo,Distribuidor
24-06-2024,C002,P001,6,300,Sur,Laptop,Computo,Corporativo
27-04-2024,C003,P005,7,150,Sur,Audifonos,Audio,Online
1-05-2024,C004,P003,15,500,Oeste,Teclado,Accesorios,Distribuidor
4-11-2024,C004,P001,7,300,Centro,Laptop,Computo,Distribuidor
23-01-2024,C005,P005,11,300,Oeste,Audifonos,Audio,Mayorista
12-01-2024,C002,P002,20,50,Norte,Mouse,Accesorios,Corporativo
8-08-2024,C001,P001,8,100,Norte,Laptop,Computo,Retail
29-02-2024,C003,P004,10,150,Este,Monitor,Computo,Online
3-11-2024,C005,P002,7,150,Este,Mouse,Accesorios,Mayorista
3-02-2024,C002,P005,6,200,Centro,Audifonos,Audio,Corporativo
12-03-2024,C001,P001,3,50,Oeste,Laptop,Computo,Retail
5-10-2024,C003,P002,10,150,Centro,Mouse,Accesorios,Online
2-10-2024,C003,P004,10,150,Oeste,Monitor,Computo,Online
2-09-2024,C005,P002,1,150,Sur,Mouse,Accesorios,Mayorista
16-02-2024,C004,P005,3,300,Sur,Audifonos,Audio,Distribuidor
12-05-2024,C002,P001,1,500,Sur,Laptop,Computo,Corporativo
12-01-2024,C003,P001,12,200,Norte,Laptop,Computo,Online
19-01-2024,C003,P005,13,500,Sur,Audifonos,Audio,Online
19-03-2024,C004,P002,13,200,Este,Mouse,Accesorios,Distribuidor
20-11-2024,C003,P003,14,150,Sur,Teclado,Accesorios,Online
13-07-2024,C004,P001,17,50,Este,Laptop,Computo,Distribuidor
14-01-2024,C002,P001,6,150,Centro,Laptop,Computo,Corporativo
15-09-2024,C004,P005,14,150,Este,Audifonos,Audio,Distribuidor
21-02-2024,C002,P003,15,50,Este,Teclado,Accesorios,Corporativo
11-11-2024,C003,P005,16,500,Este,Audifonos,Audio,Online
11-06-2024,C003,P004,11,50,Oeste,Monitor,Computo,Online
1-04-2024,C004,P002,8,300,Sur,Mouse,Accesorios,Distribuidor
1-10-2024,C005,P005,16,500,Este,Audifonos,Audio,Mayorista
4-09-2024,C005,P004,14,500,Sur,Monitor,Computo,Mayorista
6-12-2024,C001,P005,12,100,Sur,Audifonos,Audio,Retail
24-02-2024,C003,P002,5,150,Sur,Mouse,Accesorios,Online
1-01-2024,C002,P001,16,300,Norte,Laptop,Computo,Corporativo
28-08-2024,C002,P005,16,200,Norte,Audifonos,Audio,Corporativo
23-05-2024,C002,P002,13,500,Sur,Mouse,Accesorios,Corporativo
22-11-2024,C004,P005,11,200,Centro,Audifonos,Audio,Distribuidor
11-03-2024,C005,P004,7,200,Este,Monitor,Computo,Mayorista
7-06-2024,C005,P002,17,100,Sur,Mouse,Accesorios,Mayorista
20-11-2024,C004,P005,4,50,Este,Audifonos,Audio,Distribuidor
28-07-2024,C005,P002,16,300,Este,Mouse,Accesorios,Mayorista
8-01-2024,C004,P004,8,50,Oeste,Monitor,Computo,Distribuidor
28-07-2024,C002,P001,15,300,Centro,Laptop,Computo,Corporativo
24-06-2024,C004,P005,19,300,Oeste,Audifonos,Audio,Distribuidor
4-07-2024,C002,P002,2,300,Centro,Mouse,Accesorios,Corporativo
28-10-2024,C004,P004,2,200,Oeste,Monitor,Computo,Distribuidor
9-03-2024,C003,P003,6,100,Este,Teclado,Accesorios,Online
24-11-2024,C003,P002,18,300,Norte,Mouse,Accesorios,Online
1-01-2024,C001,P003,10,100,Oeste,Teclado,Accesorios,Retail
6-02-2024,C005,P005,10,100,Sur,Audifonos,Audio,Mayorista
24-12-2024,C002,P005,6,500,Norte,Audifonos,Audio,Corporativo
1-09-2024,C004,P001,18,300,Norte,Laptop,Computo,Distribuidor
20-09-2024,C003,P004,14,50,Sur,Monitor,Computo,Online
10-09-2024,C004,P005,9,50,Centro,Audifonos,Audio,Distribuidor
18-09-2024,C001,P002,11,500,Este,Mouse,Accesorios,Retail
10-01-2024,C002,P003,15,150,Oeste,Teclado,Accesorios,Corporativo
18-11-2024,C001,P001,6,200,Sur,Laptop,Computo,Retail
20-06-2024,C002,P002,7,150,Oeste,Mouse,Accesorios,Corporativo
19-11-2024,C004,P005,5,200,Norte,Audifonos,Audio,Distribuidor
27-11-2024,C003,P005,2,100,Sur,Audifonos,Audio,Online
25-09-2024,C001,P002,20,50,Este,Mouse,Accesorios,Retail
1-05-2024,C003,P005,13,50,Sur,Audifonos,Audio,Online
13-02-2024,C003,P002,5,200,Norte,Mouse,Accesorios,Online
27-01-2024,C002,P004,19,300,Oeste,Monitor,Computo,Corporativo
21-05-2024,C002,P001,9,50,Sur,Laptop,Computo,Corporativo
27-12-2024,C001,P001,20,200,Este,Laptop,Computo,Retail
2-01-2024,C002,P002,13,50,Norte,Mouse,Accesorios,Corporativo
11-08-2024,C005,P004,6,150,Oeste,Monitor,Computo,Mayorista
14-12-2024,C002,P001,5,500,Oeste,Laptop,Computo,Corporativo
25-06-2024,C001,P004,5,500,Norte,Monitor,Computo,Retail
25-12-2024,C002,P001,14,100,Centro,Laptop,Computo,Corporativo
17-10-2024,C001,P002,16,500,Norte,Mouse,Accesorios,Retail
27-01-2024,C004,P002,7,150,Sur,Mouse,Accesorios,Distribuidor
1-11-2024,C005,P004,3,200,Norte,Monitor,Computo,Mayorista
15-04-2024,C001,P002,1,150,Centro,Mouse,Accesorios,Retail
27-07-2024,C003,P005,1,200,Este,Audifonos,Audio,Online
25-05-2024,C005,P005,20,100,Centro,Audifonos,Audio,Mayorista
16-10-2024,C002,P002,13,200,Este,Mouse,Accesorios,Corporativo
30-09-2024,C004,P002,9,500,Sur,Mouse,Accesorios,Distribuidor
24-06-2024,C003,P003,6,100,Oeste,Teclado,Accesorios,Online
10-05-2024,C005,P002,16,100,Este,Mouse,Accesorios,Mayorista
11-02-2024,C002,P003,14,50,Norte,Teclado,Accesorios,Corporativo
13-02-2024,C003,P005,3,300,Norte,Audifonos,Audio,Online
29-05-2024,C004,P001,11,300,Sur,Laptop,Computo,Distribuidor
3-01-2024,C003,P005,8,50,Este,Audifonos,Audio,Online
17-05-2024,C004,P004,10,300,Este,Monitor,Computo,Distribuidor
12-10-2024,C001,P003,20,200,Oeste,Teclado,Accesorios,Retail
8-07-2024,C001,P004,4,50,Norte,Monitor,Computo,Retail
28-07-2024,C003,P001,18,500,Centro,Laptop,Computo,Online
19-02-2024,C002,P003,12,300,Oeste,Teclado,Accesorios,Corporativo
30-11-2024,C005,P002,14,200,Norte,Mouse,Accesorios,Mayorista
25-12-2024,C002,P003,1,100,Norte,Teclado,Accesorios,Corporativo
9-06-2024,C004,P004,18,300,Norte,Monitor,Computo,Distribuidor
28-06-2024,C004,P005,10,100,Oeste,Audifonos,Audio,Distribuidor
27-06-2024,C001,P001,15,300,Sur,Laptop,Computo,Retail
28-04-2024,C003,P005,12,150,Sur,Audifonos,Audio,Online
1-08-2024,C001,P004,15,500,Centro,Monitor,Computo,Retail
22-03-2024,C001,P002,20,500,Sur,Mouse,Accesorios,Retail
18-07-2024,C004,P002,13,200,Este,Mouse,Accesorios,Distribuidor
25-02-2024,C001,P004,14,500,Centro,Monitor,Computo,Retail
27-10-2024,C002,P001,20,100,Oeste,Laptop,Computo,Corporativo
21-02-2024,C004,P001,4,150,Norte,Laptop,Computo,Distribuidor
9-01-2024,C003,P004,3,50,Este,Monitor,Computo,Online
13-01-2024,C004,P001,8,50,Sur,Laptop,Computo,Distribuidor
13-12-2024,C001,P004,11,50,Sur,Monitor,Computo,Retail
2-06-2024,C001,P004,1,150,Norte,Monitor,Computo,Retail
25-05-2024,C005,P003,18,100,Oeste,Teclado,Accesorios,Mayorista
3-07-2024,C004,P005,15,200,Centro,Audifonos,Audio,Distribuidor
3-08-2024,C005,P004,12,100,Oeste,Monitor,Computo,Mayorista
22-09-2024,C002,P005,19,150,Norte,Audifonos,Audio,Corporativo
25-03-2024,C002,P005,1,200,Oeste,Audifonos,Audio,Corporativo
6-03-2024,C004,P004,11,300,Centro,Monitor,Computo,Distribuidor
21-02-2024,C003,P002,7,50,Norte,Mouse,Accesorios,Online
12-07-2024,C003,P001,1,500,Centro,Laptop,Computo,Online
13-02-2024,C002,P005,13,300,Norte,Audifonos,Audio,Corporativo
4-06-2024,C001,P005,15,100,Oeste,Audifonos,Audio,Retail
31-08-2024,C002,P003,17,100,Norte,Teclado,Accesorios,Corporativo
25-01-2024,C003,P004,5,50,Este,Monitor,Computo,Online
9-02-2024,C005,P002,8,500,Oeste,Mouse,Accesorios,Mayorista
12-03-2024,C003,P004,9,50,Centro,Monitor,Computo,Online
27-10-2024,C004,P002,9,50,Este,Mouse,Accesorios,Distribuidor
24-06-2024,C002,P005,10,50,Centro,Audifonos,Audio,Corporativo
9-09-2024,C005,P004,6,150,Este,Monitor,Computo,Mayorista
9-01-2024,C002,P005,5,100,Sur,Audifonos,Audio,Corporativo
15-07-2024,C004,P002,18,200,Oeste,Mouse,Accesorios,Distribuidor
28-10-2024,C001,P001,8,100,Norte,Laptop,Computo,Retail
20-07-2024,C001,P003,4,100,Sur,Teclado,Accesorios,Retail
6-02-2024,C001,P005,9,500,Este,Audifonos,Audio,Retail
24-01-2024,C005,P001,2,300,Sur,Laptop,Computo,Mayorista
30-11-2024,C001,P001,6,500,Oeste,Laptop,Computo,Retail
25-09-2024,C004,P004,1,50,Este,Monitor,Computo,Distribuidor
29-06-2024,C005,P002,16,150,Este,Mouse,Accesorios,Mayorista
12-08-2024,C003,P003,9,200,Sur,Teclado,Accesorios,Online
10-12-2024,C004,P002,9,100,Norte,Mouse,Accesorios,Distribuidor
29-12-2024,C002,P003,15,150,Sur,Teclado,Accesorios,Corporativo
26-01-2024,C003,P005,6,50,Sur,Audifonos,Audio,Online
11-06-2024,C002,P001,3,200,Oeste,Laptop,Computo,Corporativo
26-10-2024,C002,P002,10,50,Este,Mouse,Accesorios,Corporativo
16-07-2024,C003,P004,17,300,Sur,Monitor,Computo,Online
4-06-2024,C004,P003,17,100,Oeste,Teclado,Accesorios,Distribuidor
16-02-2024,C002,P005,16,200,Centro,Audifonos,Audio,Corporativo
3-03-2024,C004,P003,20,100,Norte,Teclado,Accesorios,Distribuidor
12-04-2024,C001,P002,10,50,Este,Mouse,Accesorios,Retail
12-04-2024,C002,P004,15,150,Centro,Monitor,Computo,Corporativo
21-01-2024,C002,P001,9,50,Norte,Laptop,Computo,Corporativo
14-12-2024,C004,P003,10,100,Sur,Teclado,Accesorios,Distribuidor
19-04-2024,C005,P003,11,500,Centro,Teclado,Accesorios,Mayorista
15-12-2024,C001,P003,5,150,Norte,Teclado,Accesorios,Retail
9-06-2024,C003,P005,8,500,Este,Audifonos,Audio,Online
21-01-2024,C003,P005,17,300,Centro,Audifonos,Audio,Online
8-09-2024,C003,P002,19,200,Sur,Mouse,Accesorios,Online
5-10-2024,C004,P002,8,300,Norte,Mouse,Accesorios,Distribuidor
18-06-2024,C004,P003,20,50,Sur,Teclado,Accesorios,Distribuidor
17-02-2024,C005,P005,1,150,Sur,Audifonos,Audio,Mayorista
26-04-2024,C005,P005,20,100,Norte,Audifonos,Audio,Mayorista
24-03-2024,C004,P005,18,200,Oeste,Audifonos,Audio,Distribuidor
11-03-2024,C003,P002,17,500,Norte,Mouse,Accesorios,Online
6-06-2024,C004,P001,13,500,Centro,Laptop,Computo,Distribuidor
31-03-2024,C001,P002,9,200,Este,Mouse,Accesorios,Retail
25-03-2024,C004,P002,2,150,Centro,Mouse,Accesorios,Distribuidor
1-05-2024,C002,P001,9,500,Oeste,Laptop,Computo,Corporativo
22-12-2024,C005,P004,3,100,Sur,Monitor,Computo,Mayorista
19-06-2024,C003,P001,20,300,Centro,Laptop,Computo,Online
